# JMH version: 1.36
# VM version: JDK 20.0.2, OpenJDK 64-Bit Server VM, 20.0.2+9
# VM invoker: /Users/priydey/.sdkman/candidates/java/20.0.2-zulu/zulu-20.jdk/Contents/Home/bin/java
# VM options: -XX:+PreserveFramePointer -XX:+UnlockDiagnosticVMOptions -XX:+DebugNonSafepoints
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 10 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.priyakdey.sorty.SortingBenchmark.benchmarkBinarySearchInsertionSort

# Run progress: 0.00% complete, ETA 00:41:40
# Fork: 1 of 5
# Warmup Iteration   1: 3786.325 ±(99.9%) 91.398 us/op
# Warmup Iteration   2: 3691.963 ±(99.9%) 44.556 us/op
# Warmup Iteration   3: 3844.405 ±(99.9%) 51.629 us/op
# Warmup Iteration   4: 3784.239 ±(99.9%) 67.438 us/op
# Warmup Iteration   5: 3761.953 ±(99.9%) 80.819 us/op
Iteration   1: 3705.465 ±(99.9%) 55.741 us/op
Iteration   2: 3735.562 ±(99.9%) 66.760 us/op
Iteration   3: 3723.818 ±(99.9%) 54.265 us/op
Iteration   4: 3711.878 ±(99.9%) 52.647 us/op
Iteration   5: 3716.957 ±(99.9%) 41.660 us/op

# Run progress: 4.00% complete, ETA 00:40:09
# Fork: 2 of 5
# Warmup Iteration   1: 3841.425 ±(99.9%) 60.681 us/op
# Warmup Iteration   2: 3741.283 ±(99.9%) 42.799 us/op
# Warmup Iteration   3: 3834.480 ±(99.9%) 73.515 us/op
# Warmup Iteration   4: 3793.777 ±(99.9%) 69.454 us/op
# Warmup Iteration   5: 3739.979 ±(99.9%) 57.598 us/op
Iteration   1: 3647.634 ±(99.9%) 54.073 us/op
Iteration   2: 3632.609 ±(99.9%) 46.150 us/op
Iteration   3: 3618.152 ±(99.9%) 47.902 us/op
Iteration   4: 3649.900 ±(99.9%) 53.226 us/op
Iteration   5: 3624.382 ±(99.9%) 30.204 us/op

# Run progress: 8.00% complete, ETA 00:38:28
# Fork: 3 of 5
# Warmup Iteration   1: 3656.551 ±(99.9%) 35.541 us/op
# Warmup Iteration   2: 3623.291 ±(99.9%) 39.549 us/op
# Warmup Iteration   3: 3602.086 ±(99.9%) 47.378 us/op
# Warmup Iteration   4: 3656.716 ±(99.9%) 42.890 us/op
# Warmup Iteration   5: 3694.018 ±(99.9%) 51.419 us/op
Iteration   1: 3636.341 ±(99.9%) 54.259 us/op
Iteration   2: 3653.139 ±(99.9%) 36.614 us/op
Iteration   3: 3910.748 ±(99.9%) 59.923 us/op
Iteration   4: 3633.198 ±(99.9%) 38.243 us/op
Iteration   5: 3644.282 ±(99.9%) 48.368 us/op

# Run progress: 12.00% complete, ETA 00:36:47
# Fork: 4 of 5
# Warmup Iteration   1: 3681.635 ±(99.9%) 56.217 us/op
# Warmup Iteration   2: 3603.976 ±(99.9%) 38.668 us/op
# Warmup Iteration   3: 3625.386 ±(99.9%) 40.635 us/op
# Warmup Iteration   4: 3721.904 ±(99.9%) 59.578 us/op
# Warmup Iteration   5: 3649.867 ±(99.9%) 60.756 us/op
Iteration   1: 3621.670 ±(99.9%) 36.223 us/op
Iteration   2: 3610.924 ±(99.9%) 25.784 us/op
Iteration   3: 3612.185 ±(99.9%) 34.237 us/op
Iteration   4: 3605.303 ±(99.9%) 40.028 us/op
Iteration   5: 3617.725 ±(99.9%) 52.413 us/op

# Run progress: 16.00% complete, ETA 00:35:07
# Fork: 5 of 5
# Warmup Iteration   1: 3711.282 ±(99.9%) 35.364 us/op
# Warmup Iteration   2: 3789.915 ±(99.9%) 57.000 us/op
# Warmup Iteration   3: 3659.158 ±(99.9%) 40.517 us/op
# Warmup Iteration   4: 3681.158 ±(99.9%) 46.475 us/op
